,date,time,post
62,2021-11-18,2021-12-05 20:53:00,"So midfield is going to have to be Fabinho, Thiago and Ox, with no bench options.

And then perhaps the same again vs Porto.

Really not ideal."
63,2021-11-18,2021-12-05 21:05:00,"Originally Posted by LLS1


So midfield is going to have to be Fabinho, Thiago and Ox, with no bench options.

And then perhaps the same again vs Porto.

Really not ideal.


Hendo is fit"
64,2021-11-19,2021-12-05 02:22:00,I am a bit pessimistic about this match after watching our last two prem matches and I know many may not agree with me but I would start Origi over a slightly knocked Mane at the moment.
65,2021-11-19,2021-12-05 09:09:00,"Fabinho missed training and a doubt for tomorrow.

But but but we have 8 midfielders!"
66,2021-11-19,2021-12-05 10:24:00,Always the case when Fabinho returns from international duty.
67,2021-11-19,2021-12-05 11:06:00,"Originally Posted by jpxj86


I am a bit pessimistic about this match after watching our last two prem matches and I know many may not agree with me but I would start Origi over a slightly knocked Mane at the moment.


Id prefer Mane on crutches."
68,2021-11-19,2021-12-05 11:08:00,"Originally Posted by SachaTomek


Fabinho missed training and a doubt for tomorrow.

But but but we have 8 midfielders!


Football isnt played on paper

Same people.

We have 8 midfielders on paper

Others.

But they cant be relied upon at all, proven every season

Them people.

You hearing this Dave, this scumbag wants an oil sheik."
69,2021-11-19,2021-12-05 11:24:00,"Originally Posted by SachaTomek


Fabinho missed training and a doubt for tomorrow.

But but but we have 8 midfielders!


I know but they're dropping like flies. I estimate we have have Jones/Elliott/Milner/Keita/Fabinho out injured so just Thiago Ox and Hendo left standing. What have we on the bench for MF???"
70,2021-11-19,2021-12-05 12:21:00,"Originally Posted by SachaTomek


Fabinho missed training and a doubt for tomorrow.

But but but we have 8 midfielders!


I can find nothing in my newsfeed that suggests this .. where are you finding it?

EDIT: I found this which suggests he may not have missed training due to injury but rather that he was given a break after returning from International duty.



https://www.rousingthekop.com/2021/1...g-on-thursday/"
71,2021-11-19,2021-12-05 13:07:00,"Originally Posted by grenny158


I can find nothing in my newsfeed that suggests this .. where are you finding it?

EDIT: I found this which suggests he may not have missed training due to injury but rather that he was given a break after returning from International duty.



https://www.rousingthekop.com/2021/1...g-on-thursday/


Well it will certainly be good if he is fit as that gives us 4 fit MFs!"
72,2021-11-19,2021-12-05 14:50:00,"Originally Posted by ghyllred


I know but they're dropping like flies. I estimate we have have Jones/Elliott/Milner/Keita/Fabinho out injured so just Thiago Ox and Hendo left standing. What have we on the bench for MF???


They are dropping like flies...as many predicted they would given their previous injury record."
73,2021-11-19,2021-12-05 15:22:00,"Alisson
Trent - Matip - Virgil - Tsimikas
Fabinho
Chamberlain - Thiago
Salah - Jota - Mane
Subs: Kelleher, Adrian, Neco, Konate, Phillips, Morton, Origi, Henderson, Minamino

That is probably the best we can hope for. Fabinho is training today so should make it."
74,2021-11-19,2021-12-05 17:18:00,Thiago is available right?
75,2021-11-19,2021-12-05 17:19:00,"People talk about Keita, Thiago, Hendo etc but low key Fabinho is an absolute crock these days"
76,2021-11-19,2021-12-05 17:53:00,"Originally Posted by LFC-Simon95


People talk about Keita, Thiago, Hendo etc but low key Fabinho is an absolute crock these days


????"
77,2021-11-19,2021-12-05 18:09:00,"Originally Posted by bjb7225


????


Always injured"
